model,window,day_type,season,forecast_hour,mae,rmse,mase
TTM,19,weekday,summer,0,1380.1829427083333,1870.0734589579242,0.312947985867171
TTM,20,weekday,summer,0,868.6025390625,1386.1794854261275,0.19695027862416056
TTM,21,weekend,summer,0,1203.1722005208333,1583.423677402069,0.27281188975245646
TTM,22,weekend,summer,0,2401.49755859375,2825.519449271927,0.5445247878169599
TTM,23,weekday,summer,0,2700.2317708333335,2849.8694183746934,0.6122609314375597
TTM,24,weekday,summer,0,1204.25634765625,1724.99769822543,0.2730577134414136
TTM,25,weekday,summer,0,805.9783528645834,1029.1353913277615,0.18275062991762656
TTM,26,weekday,summer,0,955.5771484375,1108.3379894929376,0.21667123588514461
TTM,27,weekday,summer,0,914.5550130208334,974.1208289388477,0.20736971921125746
TTM,28,weekend,summer,0,1328.5662434895833,1578.231071777013,0.3012442170711868
TTM,29,weekend,summer,0,1386.3522135416667,1859.8188459084674,0.3143468300506618
Prophet,0,weekend,summer,0,3540.4627719915024,4134.428998624754,0.8027781384968075
Prophet,1,weekend,summer,0,2531.7346945256545,2927.567196712047,0.5740552566510553
Prophet,2,weekday,summer,0,3085.75785939736,3539.1358550977384,0.6996765987248323
Prophet,3,weekday,summer,0,1127.433669787428,1250.6993794171362,0.25563864415426996
Prophet,4,weekday,summer,0,4302.400944067046,4812.980124609793,0.9755429285314174
Prophet,5,weekday,summer,0,2112.1049019235375,2946.2253762832365,0.4789067844151954
Prophet,6,weekday,summer,0,1792.4450254516144,2254.1927206922956,0.4064258752480856
Prophet,7,weekend,summer,0,2111.241603023187,2436.2126572392945,0.47871103670400006
Prophet,8,weekend,summer,0,2497.8260606516674,2857.5130664858843,0.5663666826613287
Prophet,9,weekday,summer,0,804.5988776969883,941.4252424599953,0.18243784241540925
Prophet,10,weekday,summer,0,1699.8251481650393,1870.2469780486254,0.3854248882403629
Prophet,11,weekday,summer,0,796.4443426261909,1082.319939187692,0.18058885178733963
Prophet,12,weekday,summer,0,1523.4356241663324,1672.8568508560338,0.34542964952574445
Prophet,13,weekday,summer,0,855.4319997159943,1114.4650309386582,0.1939639399050446
Prophet,14,weekend,summer,0,2756.005719770976,3019.466286075756,0.6249073310153164
Prophet,15,weekend,summer,0,2996.576616395949,4050.951192061986,0.6794553008730734
Prophet,16,weekday,summer,0,1729.4201319005679,1855.4789712661677,0.3921353686159797
Prophet,17,weekday,summer,0,1759.3320510273813,2232.562092734518,0.3989177121405194
Prophet,18,weekday,summer,0,1100.5168942262833,1308.2080978531083,0.24953543099517278
